document_id,coder_source,named_accountable_actor,decision_authority,review_obligation,override_authority,documentation_duty,appeal_or_contestability,audit_obligation,error_ownership,total_adjudicated_asi_score,coding_confidence,primary_evidence_quote,interpretive_note
AIES-001,adjudicated_lead_plus_second_coder,2,0,1,0,0,0,0,2,5,medium,Customer is solely responsible for all use of the Outputs and for evaluating the accuracy and appropriateness of Output for Customer's use case.,Customer responsibility and output evaluation are specific but internal authority appeal and documentation are not.
AIES-002,adjudicated_lead_plus_second_coder,1,0,1,0,0,0,0,0,2,medium,Use discretion before relying on publishing or otherwise using content provided by the Services.,Generic user reliance warning.
AIES-003,adjudicated_lead_plus_second_coder,1,0,2,0,0,0,0,1,4,medium,Community members must check the accuracy of information generated by Generative AI tools prior to relying on such information.,Accuracy obligation without role-specific decision process.
AIES-004,adjudicated_lead_plus_second_coder,1,1,1,0,0,0,0,0,3,medium,Decisions affecting academic or administrative outcomes should include oversight by UMD officials with academic and/or administrative authority.,Partial authority and oversight language.
AIES-005,adjudicated_lead_plus_second_coder,1,1,1,1,0,2,0,0,6,medium,Students should be given the right to refuse and request an alternate assignment with reasonable notice.,Concrete contestability in course context.
AIES-006,adjudicated_lead_plus_second_coder,2,2,2,2,2,2,2,2,16,high,The assistant deputy minister responsible for the program using the automated decision system or any other senior official named by the deputy head is responsible.,High-specificity public-sector negative case.
AIES-007,adjudicated_lead_plus_second_coder,1,0,2,0,2,2,2,0,9,medium,The tool has been subject to a bias audit... information about the bias audit is publicly available and certain notices have been provided.,Audit notice and complaint pathway but weak human authority.
AIES-008,adjudicated_lead_plus_second_coder,0,0,0,0,0,0,1,0,1,medium,The NIST AI RMF is intended for voluntary use.,Voluntary framework does not itself allocate enforceable responsibility.
AIES-009,adjudicated_lead_plus_second_coder,2,1,2,2,2,1,2,2,14,medium,Articles 12 14 18 20 26 and 85 require logging human oversight documentation keeping corrective action deployer oversight authority monitoring reporting and complaint channels.,Provision-level extraction supports high but not perfect specificity; final decision authority and individualized contestability remain partly context-dependent.
AIES-010,adjudicated_lead_plus_second_coder,2,0,1,0,0,0,0,2,5,medium,It is Customer's responsibility to evaluate whether Outputs are appropriate for Customer's use case including where human review is appropriate.,Strong responsibility transfer.
AIES-011,adjudicated_lead_plus_second_coder,2,2,0,1,0,0,2,0,7,medium,Safeguards Team will implement detection and monitoring... and may throttle suspend or terminate access.,Vendor enforcement specificity not downstream recourse.
AIES-012,adjudicated_lead_plus_second_coder,1,2,1,0,2,0,2,1,9,low,You will provide information or other materials related to Your Content as reasonably requested by us to verify your compliance.,General service responsibility; AI-specificity limited.
AIES-013,adjudicated_lead_plus_second_coder,0,0,0,0,0,0,0,0,0,medium,People should be accountable for AI systems.,Principles-level language.
AIES-014,adjudicated_lead_plus_second_coder,0,0,1,0,1,0,2,0,4,medium,Governance includes tracing and monitoring tools compliance integrations and continuous monitoring.,Operational monitoring without named decision authority.
AIES-015,adjudicated_lead_plus_second_coder,1,1,2,1,0,0,1,2,8,medium,If you use the AI/ML Services to make consequential decisions you must evaluate the potential risks... implement appropriate human oversight testing and safeguards... You and your end users are responsible for all decisions made.,Strong customer/end-user responsibility but no internal appeal route.
AIES-016,adjudicated_lead_plus_second_coder,1,0,2,1,0,1,2,1,8,medium,Applications... are tested thoroughly continuously and are subject to appropriate human oversight... Establish feedback channels that allow users to report abuse or issues.,Customer operational duties and feedback channels.
AIES-017,adjudicated_lead_plus_second_coder,2,2,1,0,2,0,0,2,9,medium,If you have any doubt... you are responsible for discussing it with your instructor... you must acknowledge and document that use.,Clear educational responsibility and documentation but limited appeal/audit.
AIES-018,adjudicated_lead_plus_second_coder,2,2,2,1,2,2,2,1,14,high,The directive applies to both full and partial automation of decisions including cases where there is a human in the loop or an officer makes the final decision.,Strong scope and compliance guidance tied to directive recourse and documentation.
AIES-019,adjudicated_lead_plus_second_coder,2,1,1,0,2,0,2,1,9,high,Enable senior responsible owners to take meaningful accountability... ATRS is mandatory for all government departments... assigning a lead.,Strong transparency and ownership; little affected-person appeal.
AIES-020,adjudicated_lead_plus_second_coder,2,2,2,1,1,2,1,1,12,medium,Senior owners should conduct a thorough risk assessment... Article 22... individuals have the right to not be subjected to solely automated decisions.,Strong public-sector guidance with rights language.
AIES-021,adjudicated_lead_plus_second_coder,2,2,2,2,0,2,0,2,12,high,Providing a consumer with an opportunity to appeal via human review if technically feasible an adverse consequential decision.,Strong deployer/developer obligations and appeal/correction mechanisms.
AIES-022,adjudicated_lead_plus_second_coder,2,2,1,0,2,0,0,1,8,medium,The use... is not permitted unless fully disclosed in advance and explicitly authorized by the instructor in writing.,Strong instructor authority and documentation but no explicit appeal mechanism.
AIES-023,adjudicated_lead_plus_second_coder,1,1,2,1,0,2,0,1,8,medium,Automation of high-stakes decisions in sensitive areas without human review... You can appeal if you think we have made a mistake enforcing policy.,High-stakes human review prohibition and platform enforcement appeal.
