document_id,institution_name,institution_category,sector,jurisdiction,document_title,document_type,document_stratum,domain,published_or_updated_date,access_date,source_url,source_status,excerpt_validation_status,inclusion_status,coder_notes
AIES-001,OpenAI,vendor,private,United States,OpenAI Services Agreement,business terms,binding_or_operational,vendor responsibility,2025-05-01,2026-05-17,https://openai.com/policies/may-2025-business-terms/,previously_verified,excerpt_verified,included,Customer responsibility for output use and evaluation.
AIES-002,Google,vendor,private,United States,Generative AI Additional Terms of Service,additional terms,binding_or_operational,vendor responsibility,2023-08-09,2026-05-17,https://policies.google.com/terms/generative-ai,previously_verified,excerpt_verified,included,Reliance warning and user responsibility language.
AIES-003,Columbia University,university,higher education,United States,Generative AI Policy,university policy,public_facing_compliance,education,unknown,2026-05-17,https://provost.columbia.edu/content/office-senior-vice-provost/ai-policy,previously_verified,excerpt_verified,included,Accuracy checking and institutional guidance.
AIES-004,University of Maryland,university,higher education,United States,AI @ UMD Guidelines for Use,guidelines,public_facing_compliance,education,unknown,2026-05-17,https://ai.umd.edu/resources-guidelines/guidelines-for-use,previously_verified,excerpt_verified,included,Oversight by officials with academic or administrative authority.
AIES-005,University of Wisconsin-Green Bay,university,higher education,United States,UW-Green Bay Generative AI Policy,university policy,public_facing_compliance,education,2024-08-23,2026-05-17,https://www.uwgb.edu/provost/policies-procedures/ai-policy/,previously_verified,excerpt_verified,included,Right to refuse and request alternate assignment.
AIES-006,Treasury Board of Canada Secretariat,government,public sector,Canada,Directive on Automated Decision-Making,directive,binding_or_operational,public administration,2025-06-24,2026-05-17,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32592,previously_verified,excerpt_verified,included,High-specificity negative case with senior responsibility and recourse.
AIES-007,NYC Department of Consumer and Worker Protection,government,public sector,United States,Automated Employment Decision Tools page,regulatory guidance,binding_or_operational,employment,2023-07-05,2026-05-17,https://www.nyc.gov/site/dca/about/automated-employment-decision-tools.page,previously_verified,excerpt_verified,included,Bias audit notice and complaint pathway.
AIES-008,NIST,standards_body,public standard,United States,AI Risk Management Framework,framework,public_facing_compliance,general AI governance,2023-01-26,2026-05-17,https://www.nist.gov/itl/ai-risk-management-framework,source_reverified,excerpt_reverified,included,Voluntary framework; source confirms voluntary use.
AIES-009,European Union,regulator,public law,European Union,Regulation (EU) 2024/1689 Artificial Intelligence Act,regulation,binding_or_operational,general AI governance,2024-06-13,2026-05-17,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,source_reverified,provision_level_excerpt_verified,included,Official EUR-Lex source verified; ASI-relevant Articles 12 14 18 20 26 and 85 extracted and conservatively mapped.
AIES-010,Anthropic,vendor,private,United States,Commercial Terms of Service,business terms,binding_or_operational,vendor responsibility,unknown,2026-05-17,https://www.anthropic.com/legal/commercial-terms,previously_verified,excerpt_verified,included,Customer output evaluation responsibility.
AIES-011,Anthropic,vendor,private,United States,Usage Policy,usage policy,binding_or_operational,platform governance,unknown,2026-05-17,https://www.anthropic.com/legal/aup,previously_verified,excerpt_verified,included,Vendor enforcement and monitoring authority.
AIES-012,AWS,vendor,private,United States,AWS Service Terms,service terms,binding_or_operational,platform services,unknown,2026-05-17,https://aws.amazon.com/service-terms/,previously_verified,partial_excerpt_verified,included_limited,General service terms; AI-specific policy added separately as AIES-015.
AIES-013,Microsoft,vendor,private,United States,Responsible AI Principles and Approach,principles page,public_facing_compliance,general AI governance,unknown,2026-05-17,https://www.microsoft.com/en-us/ai/principles-and-approach,previously_verified,excerpt_verified,included,Principles-level accountability language.
